Family,LF_Idno,Genus,Specis ,Phyloname,Clade,CH,CB1,CB5,Man,Clad
Lutjanidae,48,lutjanus,synagris,Lutjanus_synagris,Percamorpha,4.3,4.5,2.5,4.8,D
Lutjanidae,52,lutjanus,campechanus,Lutjanus_campechanus,Percamorpha,5.5,4,3,6.3,D
Lutjanidae,57,ocyurus,chrysurus,Ocyurus_chrysurus,Percamorpha,5.8,5,3.5,5.5,D
Lutjanidae,58,rhomboplites,aurorubens,Rhomboplites_aurorubens,Percamorpha,4.3,4,2.8,4.5,D
Moronidae,77,morone,americana,Morone_americana,Percamorpha,1.6,2,1.1,2.3,D
Moronidae,78,morone,saxatilis,Morone_saxatilis,Percamorpha,6.8,6.3,3.8,7.1,D
Percidae,79,perca,flavescens,Perca_flavescens,Percamorpha,2.4,2.6,1.4,3,D
Percidae,80,sander,-,Sander_vitreus,Percamorpha,6.5,4,2.8,7,D
Potnatomidae,64,pomatomus,saltatris,Pomatomus_saltatrix,Percamorpha,6,5.8,3,6,D
Priacanthidae,65,priacanthus,arenatus,Priacanthus_arenatus,Percamorpha,5,4.5,2.6,5,D
Rachcentridae,74,rachycentron,canadum,Rachycentron_canadum,Percamorpha,12.5,11,6.7,12,D
Rachcentridae,75,rachycentron,canadum,Rachycentron_canadum,Percamorpha,11.4,9,5,11.5,D
Sciaenidae,37,cynoscion,nebulosus,Cynoscion_nebulosus,Percamorpha,6.5,5,3.8,7.5,D
Sciaenidae,47,cynoscion,nebulosus,Cynoscion_nebulosus,Percamorpha,3.7,2.7,1.8,4,D
Sciaenidae,51,cynoscion,arenarius,Cynoscion_arenarius,Percamorpha,4.2,3.6,2,5,D
Sciaenidae,34,leiostomus,xanthurus,Leiostomus_xanthurus,Percamorpha,2,2.2,1.5,2,D
Sciaenidae,36,menticirrhus,americanus,Menticirrhus_americanus,Percamorpha,2.2,1.7,1.5,2.2,D
Sciaenidae,32,micropogonias,undulatus,Micropogonias_undulatus,Percamorpha,2.8,1.8,1.4,2,D
Sciaenidae,33,pogonias,crondis,Pogonias_cromis,Percamorpha,3.2,2.5,2.5,2.8,D
Scombridae,12,euthynnus,alletteratus,Euthynnus_alletteratus,Percamorpha,7,7.5,6,7.4,D
Scombridae,10,sarda,sarda,Sarda_sarda,Percamorpha,6.5,6.5,3.5,7.5,D
Scombridae,11,scomber,scombrus,Scomber_scombrus,Percamorpha,3.9,3.5,2.5,4,D
